company_id,month_index,industry,company_size,employee_total,facility_area_sqm,operating_hours_per_day,operating_days_per_week,number_of_shifts,monthly_electricity_kwh,peak_demand_kw,power_factor,renewable_energy_percent,electricity_provider,diesel_liters_monthly,petrol_liters_monthly,natural_gas_kg_monthly,lpg_kg_monthly,coal_tons_monthly,furnace_oil_liters_monthly,biomass_tons_monthly,water_consumption_kl_monthly,water_recycling_percent,metal_scrap_kg_monthly,plastic_waste_kg_monthly,organic_waste_kg_monthly,paper_waste_kg_monthly,wood_waste_kg_monthly,production_volume_monthly,raw_material_consumption_tons,avg_temperature,scope1_kg,scope2_kg,scope3_kg,total_co2_kg,emission_intensity,suggest_night_shift,suggest_solar_ppa,suggest_power_factor_correction,suggest_led_lighting,suggest_waste_heat_recovery,suggest_biogas_plant,suggest_water_recycling,suggest_switch_to_png,suggest_renewable_procurement,suggest_process_optimization
C240,19,Textile,Enterprise,10304,241274.6,22,5,3,58836.85,882.55,0.858,20.33,Adani Electricity,8509.78,145.13,6219.87,415.97,5.9806,140.03,0,5152.0,5.85,5741.4,2296.6,1148.3,1148.3,0,1937.7,96.88,20.365526613263352,57015.49,38436.27,19376.83,114828.6,11.14,1,0,1,1,0,0,1,1,0,0
C161,20,Manufacturing,Enterprise,8810,261759.7,22,7,1,47795.15,716.93,0.979,19.26,Tata Power,4264.96,89.53,3117.3,189.19,2.9974,376.38,0,4405.0,24.38,4650.7,1860.3,930.1,930.1,0,3279.6,163.98,29.361289929817797,28575.23,31642.6,32796.06,93013.88,10.56,0,0,0,1,0,1,0,1,0,0
C374,7,Construction,Large,3201,46639.1,11,6,1,13105.16,196.58,0.904,7.54,Tata Power,1530.75,85.3,1118.84,121.89,1.0758,149.07,0,1600.5,44.63,1401.6,560.6,280.3,280.3,0,784.0,39.2,32.635964130138944,10256.02,9936.27,7839.69,28031.98,8.76,0,1,1,0,0,1,0,1,0,0
C381,4,Construction,Enterprise,2824,50169.4,11,7,3,69710.1,1045.65,0.874,3.0,Tata Power,12066.64,124.17,8819.62,131.69,8.4804,294.49,0,1412.0,31.58,8263.4,3305.4,1652.7,1652.7,0,2897.3,144.86,23.82134552949209,80846.48,55448.59,28972.84,165267.91,58.52,0,1,1,1,0,1,0,1,1,1
C065,11,Energy,SME,765,8570.2,11,6,3,37624.28,564.36,0.917,19.7,BESCOM,3729.5,111.58,2725.93,147.28,2.6211,83.37,0,382.5,22.29,4003.5,1601.4,800.7,800.7,0,3031.0,151.55,25.102564255827343,24987.67,24773.31,30309.97,80070.96,104.67,0,0,1,1,1,1,0,1,0,1
C128,19,Automotive,SME,874,11635.1,17,6,1,16689.43,250.34,0.927,28.33,Tata Power,1721.6,85.7,1258.34,136.54,1.2099,56.52,0,437.0,15.96,1631.4,652.6,326.3,326.3,0,1128.5,56.42,20.19014626337736,11534.75,9808.52,11284.61,32627.88,37.33,0,0,0,0,0,1,1,1,0,0
C186,2,Manufacturing,Enterprise,10382,333654.0,13,7,3,106430.03,1596.45,0.924,6.73,Tata Power,10875.99,107.33,7949.36,486.53,7.6436,396.36,0,5191.0,37.88,11146.9,4458.8,2229.4,2229.4,0,6866.8,343.34,23.061820342020344,72869.11,81400.69,68667.93,222937.73,21.47,0,1,0,1,0,1,1,1,1,0
C014,12,Steel,Large,1593,23710.9,13,6,3,47653.77,714.81,0.953,10.12,BESCOM,7760.98,150.96,5672.57,429.74,5.4544,198.5,0,796.5,7.82,5250.2,2100.1,1050.0,1050.0,0,1788.3,89.42,31.06926421096388,51998.56,35121.85,17883.37,105003.78,65.92,0,0,0,1,1,1,1,1,1,1
C015,20,Steel,Mid,1015,41884.3,20,6,3,31755.37,476.33,0.895,3.37,MSEDCL,3575.29,176.56,2613.21,229.97,2.5127,343.65,0,507.5,48.08,3506.7,1402.7,701.3,701.3,0,2101.7,105.09,30.95365001536802,23954.43,25161.63,21017.04,70133.11,69.1,0,1,1,1,1,0,0,1,1,1
C242,5,Food_Processing,Large,261,11034.9,18,5,3,9819.82,147.3,0.874,22.56,MSEDCL,1396.0,109.49,1020.35,112.67,0.9811,450.36,0,130.5,18.3,1011.0,404.4,202.2,202.2,0,463.1,23.15,26.99241423639829,9353.19,6235.44,4630.81,20219.44,77.47,0,0,1,0,0,1,1,1,0,1
C064,16,Energy,Enterprise,11776,567086.2,20,7,1,580093.54,8701.4,0.897,7.49,Tata Power,63137.56,180.44,46147.82,410.36,44.3729,315.05,0,5888.0,49.11,55733.6,22293.4,11146.7,11146.7,0,25160.0,1258.0,30.28514954500541,423021.64,440050.88,251599.75,1114672.27,94.66,1,1,0,1,1,1,0,1,1,1
C035,1,Steel,Large,1617,32867.7,15,7,3,78803.96,1182.06,0.909,15.8,BESCOM,8378.76,152.18,6124.11,400.86,5.8886,251.79,0,808.5,44.7,7205.9,2882.4,1441.2,1441.2,0,3357.3,167.87,34.04514130097342,56137.67,54407.43,33573.26,144118.35,89.13,0,0,1,1,1,1,0,1,0,1
C237,13,Textile,Mid,2853,122864.6,23,7,1,6536.24,98.04,0.914,5.71,BESCOM,701.72,87.71,512.89,215.72,0.4932,226.37,0,1426.5,6.95,658.5,263.4,131.7,131.7,0,341.4,17.07,27.181503321833738,4701.49,5053.46,3414.24,13169.2,4.62,0,1,1,0,0,0,1,1,0,0
C310,5,Pharmaceutical,Large,3916,163103.3,22,5,1,17517.88,262.77,0.927,28.07,Adani Electricity,1295.43,189.6,946.84,465.72,0.9104,490.14,0,1958.0,15.16,1397.4,559.0,279.5,279.5,0,893.6,44.68,28.104116006837,8679.38,10332.21,8936.06,27947.65,7.14,1,0,0,0,0,1,1,1,0,0
C068,15,Energy,SME,331,4706.2,24,6,3,38844.42,582.67,0.932,25.14,BESCOM,4746.29,84.55,3469.11,265.79,3.3357,16.43,0,165.5,6.8,3183.6,1273.4,636.7,636.7,0,802.7,40.14,24.796659335733494,31800.14,23844.68,8027.39,63672.2,192.36,0,0,0,0,1,1,1,1,0,0
C197,16,Manufacturing,Enterprise,2477,27014.3,9,5,1,82587.05,1238.81,0.859,9.41,BESCOM,11742.69,118.66,8582.84,146.23,8.2527,291.51,0,1238.5,28.69,8777.0,3510.8,1755.4,1755.4,0,3551.2,177.56,22.00030615737432,78676.02,61351.06,35512.47,175539.55,70.87,0,1,1,1,0,1,0,1,1,0
C271,8,Food_Processing,Mid,96,2724.6,13,7,2,4113.87,61.71,0.933,2.06,MSEDCL,589.54,92.83,430.9,475.27,0.4143,313.82,0,48.0,32.91,491.0,196.4,98.2,98.2,0,256.7,12.83,23.167181085925286,3949.93,3303.73,2566.6,9820.26,102.29,0,1,0,0,0,0,0,1,0,1
C289,11,Pharmaceutical,Large,1321,13347.1,13,5,1,9284.28,139.26,0.873,28.28,Adani Electricity,1215.49,90.68,888.42,373.15,0.8542,338.34,0,660.5,43.74,845.0,338.0,169.0,169.0,0,329.5,16.48,29.160070317651517,8143.81,5460.3,3295.18,16899.29,12.79,0,0,1,0,0,0,0,1,0,0
C212,7,Textile,Startup,204,9652.7,15,5,3,2688.25,40.32,0.965,28.64,Adani Electricity,280.04,124.45,204.69,484.74,0.1968,11.05,0,102.0,26.1,218.5,87.4,43.7,43.7,0,92.0,4.6,31.83234689598286,1876.29,1573.09,920.28,4369.66,21.42,0,0,0,0,0,0,0,0,0,0
C399,9,Construction,Large,2303,97734.8,12,7,1,16567.01,248.51,0.91,29.07,MSEDCL,1252.29,123.92,915.31,449.7,0.8801,4.6,0,1151.5,2.74,1391.3,556.5,278.3,278.3,0,980.0,49.0,27.1832154452857,8390.31,9635.32,9799.68,27825.31,12.08,0,1,1,0,0,1,1,1,0,0
C180,14,Manufacturing,Startup,132,5257.0,11,5,2,3020.89,45.31,0.914,24.24,Tata Power,329.75,150.91,241.01,356.43,0.2317,36.88,0,66.0,30.19,251.3,100.5,50.3,50.3,0,94.1,4.7,31.750991395276856,2209.29,1876.67,940.72,5026.68,38.08,0,0,1,0,0,0,0,1,0,0
C380,19,Construction,Startup,11,117.0,11,7,2,1146.99,17.2,0.907,11.18,BESCOM,101.85,53.54,74.44,180.39,0.0716,368.85,0,5.5,3.66,105.7,42.3,21.1,21.1,0,59.6,2.98,26.235340456403115,682.39,835.41,596.07,2113.87,192.17,0,0,1,0,0,0,0,0,0,1
C067,12,Energy,SME,741,33638.3,13,5,2,58953.89,884.31,0.872,23.38,Adani Electricity,6109.51,96.86,4465.49,183.18,4.2937,327.09,0,370.5,6.8,5490.4,2196.2,1098.1,1098.1,0,3183.3,159.16,24.351461701422096,40933.69,37041.99,31832.73,109808.41,148.19,0,0,1,1,0,1,1,1,0,1
C324,15,Electronics,Large,2782,29651.7,18,7,2,7295.27,109.43,0.915,13.42,Adani Electricity,1098.15,151.35,802.65,327.88,0.7718,448.02,0,1391.0,14.42,860.7,344.3,172.1,172.1,0,467.8,23.39,32.79655855156014,7357.6,5179.1,4678.22,17214.93,6.19,0,0,1,0,0,0,1,1,0,0
C156,11,Automotive,SME,550,27127.8,11,7,1,16505.73,247.59,0.923,7.86,Tata Power,2065.91,107.35,1509.99,479.99,1.4519,166.07,0,275.0,42.49,1830.7,732.3,366.1,366.1,0,1030.0,51.5,32.22642277474367,13841.58,12471.42,10300.38,36613.38,66.57,0,1,0,0,0,1,0,1,1,1
C159,9,Automotive,SME,1155,12298.7,11,7,2,17306.34,259.6,0.935,26.98,BESCOM,1841.71,75.28,1346.12,254.28,1.2943,395.26,0,577.5,33.27,1384.6,553.8,276.9,276.9,0,498.9,24.94,29.472779023615978,12339.46,10362.87,4988.9,27691.23,23.98,0,0,0,0,0,1,0,1,0,0
C082,15,Chemical,Startup,26,394.2,15,7,1,4207.43,63.11,0.929,21.38,Tata Power,395.73,138.92,289.24,404.52,0.2781,166.08,0,13.0,28.91,398.9,159.6,79.8,79.8,0,261.4,13.07,21.471866197991904,2651.41,2712.37,2613.8,7977.58,306.83,0,0,0,0,0,0,0,0,0,1
C035,18,Steel,Large,1156,44186.7,20,6,1,104649.71,1569.75,0.883,14.34,Adani Electricity,13725.2,113.37,10031.87,414.62,9.646,486.94,0,578.0,2.98,10406.0,4162.4,2081.2,2081.2,0,4265.1,213.26,32.18684266128356,91958.84,73510.38,42651.01,208120.23,180.03,1,1,1,1,1,1,1,1,1,1
C129,17,Automotive,SME,182,7119.2,24,5,3,22591.45,338.87,0.882,23.25,Adani Electricity,2905.21,130.18,2123.44,369.93,2.0418,364.05,0,91.0,0.42,2255.3,902.1,451.1,451.1,0,1142.3,57.11,21.535493314294346,19464.91,14218.47,11422.84,45106.22,247.84,0,0,1,1,0,1,0,1,0,1
C198,5,Manufacturing,SME,798,13391.3,20,7,3,15383.46,230.75,0.891,22.93,Tata Power,1803.9,151.54,1318.49,392.73,1.2678,365.74,0,399.0,6.17,1291.6,516.6,258.3,258.3,0,402.3,20.11,20.706687895933932,12086.12,9722.55,4022.83,25831.49,32.37,0,0,1,0,0,1,1,1,0,0
C094,9,Chemical,Enterprise,3313,99296.2,10,6,2,121570.88,1823.56,0.958,1.9,Tata Power,15772.76,79.24,11528.45,473.91,11.0851,290.67,0,1656.5,14.37,15942.1,6376.8,3188.4,3188.4,0,11536.6,576.83,30.57165093672426,105677.48,97798.06,115366.02,318841.56,96.24,0,0,0,1,1,1,1,1,0,1
C171,8,Manufacturing,Large,1657,18317.6,23,6,3,24649.61,369.74,0.913,11.21,Adani Electricity,2645.69,60.36,1933.76,149.28,1.8594,301.01,0,828.5,36.7,2588.4,1035.4,517.7,517.7,0,1609.6,80.48,22.34632968291573,17726.12,17946.75,16095.65,51768.51,31.24,0,0,1,1,0,1,0,1,1,0
C136,18,Automotive,Mid,841,38525.2,17,6,1,35260.72,528.91,0.858,12.84,MSEDCL,3939.03,94.64,2879.07,270.45,2.7683,155.87,0,420.5,4.3,4174.7,1669.9,834.9,834.9,0,3190.2,159.51,33.860694402774,26391.51,25201.92,31901.52,83494.95,99.28,0,0,0,1,0,1,1,1,1,1
C019,17,Steel,Mid,1777,32886.2,9,6,2,63979.22,959.69,0.941,22.55,BESCOM,5649.52,173.76,4129.29,443.33,3.9705,231.81,0,888.5,39.21,5391.7,2156.7,1078.3,1078.3,0,2935.2,146.76,34.20320294511535,37851.78,40630.55,29351.76,107834.09,60.68,0,0,0,1,1,1,0,1,0,1
C069,18,Energy,SME,859,21822.1,8,6,2,57714.93,865.72,0.851,26.2,Adani Electricity,6608.2,92.44,4829.99,240.09,4.6442,135.35,0,429.5,30.09,5701.4,2280.6,1140.3,1140.3,0,3482.7,174.13,33.949453636707645,44274.94,34926.65,34826.83,114028.42,132.75,0,0,1,1,1,1,0,1,0,1
C076,12,Energy,SME,928,27923.1,20,7,3,73335.06,1100.03,0.852,16.95,Tata Power,8907.49,76.13,6510.57,265.31,6.2602,385.27,0,464.0,49.0,6983.6,2793.4,1396.7,1396.7,0,3005.1,150.25,34.2670556966268,59680.18,49940.98,30050.54,139671.7,150.51,1,0,1,1,1,1,0,1,0,1
C233,17,Textile,Large,3184,39888.1,21,6,1,32745.99,491.19,0.883,4.29,BESCOM,4150.73,99.39,3033.81,305.17,2.9171,342.17,0,1592.0,32.24,3414.6,1365.8,682.9,682.9,0,1478.3,73.92,21.104487671766925,27809.9,25698.79,14783.46,68292.16,21.45,0,1,1,1,0,1,0,1,1,0
C397,1,Construction,Enterprise,9763,179834.8,19,7,3,73023.01,1095.35,0.883,23.21,MSEDCL,6783.39,142.69,4958.04,454.05,4.7673,363.32,0,4881.5,18.01,7553.3,3021.3,1510.7,1510.7,0,5963.7,298.18,23.867350284438736,45448.71,45980.02,59636.93,151065.66,15.47,1,0,1,1,0,1,1,1,0,0
C224,17,Textile,Mid,1146,17575.6,14,6,2,11452.81,171.79,0.878,3.23,Tata Power,1091.96,167.12,798.12,460.48,0.7674,352.83,0,573.0,2.74,1152.2,460.9,230.4,230.4,0,663.9,33.19,28.254673206544723,7316.13,9088.37,6638.91,23043.41,20.11,0,1,0,0,0,1,1,1,0,0
C071,8,Energy,SME,93,3839.8,23,7,3,43243.33,648.65,0.944,26.14,BESCOM,5539.93,123.52,4049.18,143.98,3.8934,456.25,0,46.5,33.66,4068.4,1627.4,813.7,813.7,0,1806.1,90.3,28.18989539800652,37117.52,26190.89,18060.58,81368.99,874.94,0,0,0,0,1,1,0,1,0,1
C158,1,Automotive,SME,443,20735.2,21,6,2,12817.37,192.26,0.939,5.45,BESCOM,2080.5,167.52,1520.65,404.17,1.4622,476.64,0,221.5,14.53,1529.9,611.9,306.0,306.0,0,672.0,33.6,21.934733085256894,13939.33,9937.8,6720.03,30597.16,69.07,0,1,0,0,0,1,1,1,0,1
C261,19,Food_Processing,Mid,513,11115.1,22,5,1,11316.23,169.74,0.91,3.72,MSEDCL,1707.04,174.34,1247.69,343.96,1.1997,371.07,0,256.5,32.63,1222.4,488.9,244.5,244.5,0,407.6,20.38,21.538762712941175,11437.16,8933.97,4076.18,24447.31,47.66,0,1,1,0,0,1,0,1,0,0
C185,3,Manufacturing,Large,739,12782.2,20,6,3,29537.44,443.06,0.86,9.35,MSEDCL,4042.45,121.06,2954.66,428.86,2.841,385.58,0,369.5,11.61,3107.4,1243.0,621.5,621.5,0,1310.9,65.55,29.385797140832807,27084.4,21954.88,13109.33,62148.62,84.1,0,1,1,1,0,1,1,1,1,1
C224,7,Textile,Mid,1426,31016.9,8,5,2,8657.05,129.86,0.945,7.94,BESCOM,881.05,132.39,643.97,372.22,0.6192,202.65,0,713.0,10.18,930.3,372.1,186.1,186.1,0,616.8,30.84,22.875573495198676,5903.03,6535.0,6167.69,18605.73,13.05,0,1,0,0,1,0,0,1,0,0
C214,18,Textile,Enterprise,10210,144065.4,17,7,2,49270.54,739.06,0.851,28.21,Tata Power,5762.15,107.94,4211.61,217.63,4.0496,243.24,0,5105.0,36.49,4207.2,1682.9,841.4,841.4,0,1653.1,82.65,20.712078723848926,38606.43,29006.49,16530.52,84143.45,8.24,0,1,1,1,0,1,0,1,0,0
C393,5,Construction,Large,2372,44114.5,24,5,3,20692.83,310.39,0.931,28.69,BESCOM,2151.77,64.47,1572.75,110.4,1.5123,83.24,0,1186.0,1.71,1652.0,660.8,330.4,330.4,0,652.4,32.62,21.72770478582616,14416.84,12099.4,6524.49,33040.73,13.93,1,0,0,1,0,1,1,1,0,1
C205,1,Textile,Enterprise,1332,38111.2,10,6,3,73563.81,1103.46,0.875,20.38,Tata Power,8409.57,172.98,6146.63,209.97,5.9102,99.8,0,666.0,44.16,6393.2,2557.3,1278.6,1278.6,0,2349.0,117.45,20.077917391468507,56344.14,48029.81,23489.98,127863.93,95.99,0,0,1,1,0,1,0,1,0,1
C274,17,Food_Processing,Large,672,17863.3,21,5,2,13034.21,195.51,0.858,22.0,MSEDCL,1344.93,68.66,983.03,428.17,0.9452,416.8,0,336.0,17.18,1050.3,420.1,210.1,210.1,0,365.8,18.29,25.038839597933666,9011.06,8336.48,3657.78,21005.33,31.26,0,0,1,0,1,1,1,1,0,0
C094,11,Chemical,Enterprise,3704,88250.8,16,6,1,159175.53,2387.63,0.942,10.09,Tata Power,22127.95,54.43,16173.52,109.84,15.5515,69.75,0,1852.0,5.5,17354.5,6941.8,3470.9,3470.9,0,8148.3,407.41,31.221278748071498,148257.27,117349.31,81482.64,347089.22,93.71,0,0,0,1,1,1,1,1,1,1
C103,12,Chemical,SME,152,3248.7,9,6,1,14495.88,217.44,0.957,0.27,Adani Electricity,2489.16,195.63,1819.35,382.59,1.7494,322.73,0,76.0,46.17,1697.9,679.2,339.6,339.6,0,542.6,27.13,34.19589717209487,16677.36,11854.71,5426.02,33958.09,223.41,1,1,0,0,0,1,0,1,1,1
C124,18,Automotive,Mid,873,34401.2,10,5,2,43639.43,654.59,0.871,21.77,Tata Power,3822.21,90.58,2793.69,148.85,2.6862,21.24,0,436.5,41.9,3909.4,1563.8,781.9,781.9,0,2458.5,122.92,21.1271292435179,25608.83,27995.33,24584.62,78188.78,89.56,0,0,1,1,0,1,0,0,0,1
C012,10,Steel,SME,498,22927.1,15,5,2,29406.32,441.09,0.862,26.64,BESCOM,2469.5,87.35,1804.98,330.68,1.7356,33.63,0,249.0,4.75,2269.0,907.6,453.8,453.8,0,1114.5,55.73,34.98338918049936,16545.62,17688.57,11145.33,45379.53,91.12,0,0,1,1,0,1,1,1,0,1
C058,9,Energy,Startup,239,5208.2,13,6,1,14142.61,212.14,0.872,22.32,MSEDCL,1689.82,173.88,1235.11,297.89,1.1876,173.32,0,119.5,15.94,1391.6,556.6,278.3,278.3,0,750.1,37.5,32.921107723312716,11321.82,9008.89,7500.66,27831.37,116.45,0,0,1,0,0,1,1,1,0,1
C252,18,Food_Processing,Large,1376,53577.1,16,5,2,8841.72,132.63,0.899,3.9,Tata Power,1510.15,63.73,1103.78,114.24,1.0613,206.98,0,688.0,20.74,1023.6,409.4,204.7,204.7,0,338.6,16.93,30.6028505318393,10118.0,6967.38,3386.13,20471.52,14.88,0,1,1,0,0,1,0,1,0,0
C166,2,Manufacturing,Mid,1429,23808.6,20,6,2,14765.97,221.49,0.935,12.11,Adani Electricity,2222.87,120.75,1624.72,340.09,1.5622,445.41,0,714.5,16.99,1656.1,662.4,331.2,331.2,0,758.6,37.93,27.438543037138995,14893.23,10642.4,7585.64,33121.27,23.18,0,0,0,0,0,1,0,1,1,0
C193,7,Manufacturing,Enterprise,7545,127090.0,13,5,1,46434.58,696.52,0.855,4.81,Adani Electricity,5688.18,84.29,4157.54,240.16,3.9976,109.51,0,3772.5,3.09,5746.0,2298.4,1149.2,1149.2,0,4056.3,202.82,30.984136959733654,38110.83,36246.43,40563.21,114920.47,15.23,0,1,1,1,0,1,1,1,1,0
C057,13,Energy,Mid,2985,53412.6,11,7,2,69904.58,1048.57,0.878,12.88,MSEDCL,6683.58,115.67,4885.09,101.25,4.6972,437.39,0,1492.5,43.85,6582.7,2633.1,1316.5,1316.5,0,3693.4,184.67,32.096250110281865,44779.99,49940.71,36933.72,131654.42,44.11,0,0,0,1,1,1,0,1,1,0
C392,16,Construction,Large,4805,174131.6,17,5,3,36889.57,553.34,0.966,23.25,MSEDCL,3835.71,183.2,2803.56,264.31,2.6957,75.35,0,2402.5,22.24,3449.2,1379.7,689.8,689.8,0,2006.7,100.33,31.903646684761053,25699.29,23217.49,20066.74,68983.52,14.36,0,0,1,1,1,1,0,0,0,0
C025,8,Steel,SME,120,5300.4,16,7,3,35321.6,529.82,0.864,26.16,Tata Power,3997.13,190.66,2921.54,464.9,2.8092,473.04,0,60.0,12.24,2739.9,1096.0,548.0,548.0,0,663.3,33.16,21.97347959959032,26780.74,21385.4,6632.62,54798.76,456.66,0,0,1,1,1,1,0,1,0,1
C142,14,Automotive,Startup,329,5283.4,20,5,2,3047.04,45.71,0.957,2.36,Adani Electricity,282.3,139.86,206.33,270.14,0.1984,33.59,0,164.5,36.98,314.8,125.9,63.0,63.0,0,196.6,9.83,32.3052668175324,1891.4,2439.5,1966.02,6296.92,19.14,0,1,0,0,0,0,0,0,0,0
C120,1,Chemical,Enterprise,11058,117582.2,24,7,3,99842.89,1497.64,0.851,16.71,Tata Power,13546.47,81.62,9901.24,159.76,9.5204,72.84,0,5529.0,47.66,9716.4,3886.6,1943.3,1943.3,0,3537.7,176.89,30.402567929371124,90761.38,68190.03,35377.17,194328.58,17.57,1,0,1,1,1,1,0,1,0,0
C329,1,Electronics,Mid,1329,47610.9,11,5,1,2129.04,31.94,0.931,26.93,Adani Electricity,170.2,68.76,124.4,354.26,0.1196,361.59,0,664.5,0.01,188.8,75.5,37.8,37.8,0,136.0,6.8,21.250224184444345,1140.33,1275.7,1359.95,3775.98,2.84,0,0,0,0,0,0,1,0,0,0
C144,12,Automotive,Mid,698,18071.7,21,7,3,29198.95,437.98,0.861,26.39,BESCOM,4178.93,66.37,3054.42,413.13,2.9369,219.82,0,349.0,0.11,2843.6,1137.4,568.7,568.7,0,1124.9,56.24,26.21754900291247,27998.86,17624.71,11248.85,56872.42,81.48,0,0,1,1,0,1,1,1,0,1
C062,20,Energy,SME,331,15684.2,8,6,1,61321.33,919.82,0.949,14.04,MSEDCL,6230.03,74.04,4553.59,194.87,4.3785,346.22,0,165.5,38.99,5600.2,2240.1,1120.0,1120.0,0,2703.9,135.2,23.585539147247093,41741.23,43223.16,27039.48,112003.87,338.38,0,0,0,1,1,1,0,1,1,1
C351,1,Electronics,Large,1474,73097.9,11,6,3,8952.22,134.28,0.883,15.08,Tata Power,978.18,152.46,714.96,295.19,0.6875,305.25,0,737.0,25.61,824.0,329.6,164.8,164.8,0,369.2,18.46,34.87534214555847,6553.82,6234.18,3691.88,16479.88,11.18,0,0,1,0,0,0,0,1,0,0
C127,15,Automotive,SME,918,11065.8,13,6,2,10487.07,157.31,0.873,5.14,Adani Electricity,1149.12,87.22,839.9,195.29,0.8076,463.48,0,459.0,11.74,1074.0,429.6,214.8,214.8,0,562.4,28.12,34.4360755107984,7699.13,8157.66,5624.01,21480.8,23.4,0,0,1,0,0,1,1,1,0,0
C395,9,Construction,SME,775,21666.8,16,6,2,7218.96,108.28,0.936,12.2,BESCOM,868.46,107.53,634.76,484.8,0.6104,164.11,0,387.5,47.61,724.0,289.6,144.8,144.8,0,346.4,17.32,29.14023548225255,5818.68,5197.14,3463.99,14479.8,18.68,0,0,0,0,0,0,0,1,0,0
C163,1,Manufacturing,Enterprise,2830,83427.4,22,7,3,55342.65,830.14,0.928,10.9,BESCOM,5042.05,91.93,3685.28,262.72,3.5435,477.15,0,1415.0,40.19,5238.7,2095.5,1047.7,1047.7,0,3055.5,152.78,21.861040636203235,33781.76,40436.52,30555.42,104773.69,37.02,1,0,0,1,0,1,0,0,1,0
C292,14,Pharmaceutical,SME,473,11001.7,16,7,1,2120.45,31.81,0.932,5.73,BESCOM,226.57,129.99,165.6,421.69,0.1592,160.78,0,236.5,49.73,241.2,96.5,48.2,48.2,0,166.7,8.33,24.436593596582796,1518.01,1639.14,1666.95,4824.09,10.2,0,1,0,0,0,0,0,0,0,0
C375,1,Construction,SME,1114,25975.5,24,6,3,6138.41,92.08,0.905,23.57,BESCOM,561.96,153.48,410.74,131.91,0.3949,393.19,0,557.0,11.42,510.5,204.2,102.1,102.1,0,259.8,12.99,23.93691220330284,3765.12,3847.24,2597.99,10210.35,9.17,0,0,1,0,0,0,1,1,0,0
C337,3,Electronics,Large,3325,75223.9,20,7,1,7335.93,110.04,0.868,12.54,Adani Electricity,815.99,198.47,596.42,213.92,0.5735,75.07,0,1662.5,43.37,740.9,296.4,148.2,148.2,0,409.0,20.45,29.74567815672284,5467.14,5261.25,4090.27,14818.67,4.46,0,0,1,0,0,0,0,1,0,0
C350,3,Electronics,Startup,386,8794.1,22,6,1,391.89,5.88,0.919,28.13,BESCOM,51.69,96.12,37.78,260.62,0.0363,413.41,0,193.0,12.99,38.3,15.3,7.7,7.7,0,18.9,0.94,29.287081530465095,346.35,230.96,188.57,765.87,1.98,0,0,1,1,0,0,1,0,0,0
C268,18,Food_Processing,Large,2334,62811.3,13,6,3,11073.14,166.1,0.971,11.3,Tata Power,1100.5,86.5,804.37,272.32,0.7734,198.34,0,1167.0,12.08,1032.4,413.0,206.5,206.5,0,522.1,26.1,21.836285509210953,7373.35,8054.1,5220.73,20648.18,8.85,0,0,0,0,0,1,1,1,0,0
C304,18,Pharmaceutical,SME,732,15757.3,21,5,3,3587.86,53.82,0.978,0.5,BESCOM,351.83,65.87,257.16,198.86,0.2473,265.46,0,366.0,19.45,370.2,148.1,74.0,74.0,0,212.0,10.6,24.915063255847056,2357.26,2927.31,2120.22,7404.79,10.12,0,1,0,0,0,0,1,0,0,0
C114,17,Chemical,SME,752,25234.0,14,7,2,17919.36,268.79,0.867,9.08,MSEDCL,2800.65,141.02,2047.02,320.67,1.9683,219.33,0,376.0,11.74,2097.5,839.0,419.5,419.5,0,982.5,49.12,30.78439836167953,18764.38,13360.4,9824.55,41949.32,55.78,0,1,1,0,0,1,1,1,1,1
C162,5,Manufacturing,Mid,439,12661.3,10,6,1,22753.8,341.31,0.921,7.29,Tata Power,3452.37,95.62,2523.37,475.61,2.4263,235.21,0,219.5,31.12,2433.0,973.2,486.6,486.6,0,823.0,41.15,29.751622849594696,23130.9,17298.37,8230.12,48659.4,110.84,0,1,0,1,0,1,0,1,1,1
C149,18,Automotive,Mid,2171,90482.6,22,5,2,13391.79,200.88,0.901,3.74,Adani Electricity,1648.35,139.22,1204.8,430.42,1.1585,373.09,0,1085.5,34.82,1608.8,643.5,321.8,321.8,0,1056.3,52.81,33.932781637751454,11043.97,10570.26,10562.72,32176.96,14.82,0,1,1,0,0,1,0,1,1,0
C390,7,Construction,Enterprise,1982,84999.3,20,7,2,21357.25,320.36,0.971,14.79,BESCOM,2830.96,54.56,2069.18,300.08,1.9896,300.69,0,991.0,23.46,2427.2,970.9,485.4,485.4,0,1465.4,73.27,31.72271110646595,18967.46,14922.26,14654.11,48543.84,24.49,0,0,0,1,0,1,0,1,1,0
C374,12,Construction,Large,1287,55779.6,18,5,3,18445.84,276.69,0.881,19.74,Tata Power,2163.09,187.13,1581.02,437.93,1.5202,211.4,0,643.5,39.09,1644.0,657.6,328.8,328.8,0,624.7,31.24,22.49299215697844,14492.67,12139.2,6247.35,32879.22,25.55,0,0,1,0,0,1,0,1,0,0
C114,16,Chemical,SME,481,17084.0,21,5,1,22132.74,331.99,0.973,18.07,Adani Electricity,2829.73,127.66,2068.27,163.76,1.9887,447.41,0,240.5,41.62,1971.8,788.7,394.4,394.4,0,560.6,28.03,34.00875864940232,18959.17,14869.84,5606.4,39435.41,81.99,0,0,0,1,1,1,0,1,0,1
